Nom,Prix,Carburant,Modèle,CV,KM,Ville
FIAT 500X,199.000 DH,Diesel,2019,8 cv,76.000 km,Casablanca
NISSAN Qashqai,198.000 DH,Diesel,2018,6 cv,76.000 km,Casablanca
CITROEN Jumper,300.000 DH,Diesel,2021,9 cv,25.908 km,Marrakech
MERCEDES GLK,238.000 DH,Diesel,2015,8 cv,172.000 km,Mohammadia
FORD Kuga,345.000 DH,Diesel,2021,8 cv,30.000 km,Rabat
VOLVO V60,200.000 DH,Diesel,2014,8 cv,68.000 km,Tétouan
RENAULT Mégane,100.000 DH,Diesel,2014,6 cv,116.000 km,Casablanca
RENAULT Clio,120.000 DH,Diesel,2017,6 cv,87.000 km,Fès
MERCEDES Classe C,260.000 DH,Diesel,2016,9 cv,165.000 km,Casablanca
RENAULT Mégane Sedan,160.000 DH,Diesel,2018,6 cv,82.000 km,Mohammadia
NISSAN Qashqai,175.000 DH,Diesel,2016,6 cv,113.000 km,Casablanca
FIAT Albea,55.000 DH,Diesel,2010,5 cv,250.000 km,Agadir
VOLVO XC60,220.000 DH,Diesel,2014,8 cv,114.000 km,Casablanca
VOLKSWAGEN CC,160.000 DH,Diesel,2015,8 cv,251.234 km,Rabat
VOLKSWAGEN Polo,53.000 DH,Essence,2003,8 cv,201.000 km,Salé
AUDI A4,213.000 DH,Diesel,2014,8 cv,190.000 km,Rabat
MERCEDES Classe C,255.000 DH,Diesel,2017,9 cv,200.000 km,Safi
LANCIA Ypsilon,75.000 DH,Diesel,2014,5 cv,159.000 km,Tanger
NISSAN Qashqai,215.000 DH,Diesel,2020,6 cv,98.000 km,Casablanca
MERCEDES Classe C,10.000 DH,Diesel,2015,9 cv,116.000 km,Rabat
MERCEDES Classe C,345.000 DH,Diesel,2016,8 cv,105.000 km,Casablanca
RENAULT Mégane,113.000 DH,Diesel,2014,6 cv,151.000 km,Agadir
MERCEDES GLK,200.000 DH,Diesel,2012,cv,165.000 km,Rabat
AUDI Q5,355.000 DH,Diesel,2018,8 cv,67.000 km,Casablanca
BMW Série 3,220.000 DH,Diesel,2017,8 cv,129.800 km,Marrakech
MERCEDES Classe C,185.000 DH,Diesel,2012,9 cv,139.000 km,Casablanca
BMW Série 1,320.000 DH,Diesel,2022,6 cv,12.000 km,Casablanca
BMW X6,839.000 DH  VENDUE,Diesel,2022,12 cv,29.500 km,Marrakech
FORD Focus,20.000 DH,Diesel,2010,7 cv,3.000 km,Casablanca
VOLKSWAGEN Golf,400.000 DH,Diesel,2024,8 cv,20.700 km,Rabat
MERCEDES Classe C,485.000 DH,Diesel,2019,8 cv,94.300 km,Beni Mellal
RENAULT Mégane,180.000 DH,Diesel,2020,6 cv,52.531 km,Tanger
CHERY Tiggo 2 Pro,140.000 DH,Essence,2023,7 cv,4.500 km,Casablanca
MITSUBISHI Outlander,150.000 DH  VENDUE,Diesel,2015,9 cv,128.000 km,Casablanca
HYUNDAI Tucson,180.000 DH  VENDUE,Diesel,2017,6 cv,171.000 km,Kénitra
AUDI A4,110.000 DH,Diesel,2009,8 cv,330.000 km,Marrakech
NISSAN Qashqai,168.000 DH,Diesel,2016,6 cv,178.800 km,Temara
AUDI Q5,319.000 DH,Diesel,2018,8 cv,180.000 km,Fès
SKODA Octavia,205.000 DH,Diesel,2019,8 cv,83.000 km,Casablanca
PEUGEOT 3008,310.000 DH,Diesel,2020,8 cv,20.600 km,Tétouan
FORD Focus Sedan,100.000 DH,Diesel,2011,6 cv,235.000 km,Casablanca
MERCEDES Classe C,800.000 DH,Diesel,2021,8 cv,17.000 km,Rabat
LAND ROVER Range Rover Evoque,350.000 DH,Diesel,2018,8 cv,75.000 km,Marrakech
VOLVO XC40,320.000 DH,Diesel,2020,8 cv,96.500 km,Casablanca
BMW Série 7,450.000 DH,Diesel,2017,12 cv,175.000 km,Salé
LAND ROVER Range Rover Evoque,240.000 DH,Diesel,2016,8 cv,159.000 km,Salé
FORD Kuga,280.000 DH,Diesel,2021,6 cv,66.000 km,Tétouan
VOLVO XC60,250.000 DH,Diesel,2017,8 cv,134.000 km,Fès
MERCEDES Classe E,520.000 DH,Diesel,2021,8 cv,60.000 km,Tétouan
KIA Sportage,240.000 DH,Diesel,2021,8 cv,42.950 km,Agadir
RENAULT Mégane,200.000 DH,Diesel,2022,6 cv,30.000 km,El Jadida
AUDI A4,255.000 DH,Diesel,2017,8 cv,69.000 km,Agadir
BMW X1,246.000 DH,Diesel,2018,8 cv,122.000 km,Casablanca
OPEL Astra,131.000 DH,Diesel,2015,8 cv,76.600 km,Agadir
KIA Mohave,90.000 DH,Diesel,2010,12 cv,448.600 km,Casablanca
BMW Série 4 Gran Coupé,280.000 DH,Diesel,2014,cv,120.000 km,Marrakech
HYUNDAI Tucson,205.000 DH,Diesel,2019,6 cv,275.000 km,Salé
VOLKSWAGEN Touran,128.000 DH,Diesel,2009,8 cv,181.000 km,Casablanca
FORD Fiesta,80.000 DH,Essence,2013,7 cv,199.600 km,Marrakech
MERCEDES Classe E,470.000 DH,Diesel,2022,8 cv,40.000 km,Marrakech
MITSUBISHI L 200,140.000 DH,Diesel,2015,10 cv,195.000 km,Casablanca
TOYOTA Yaris Cross,221.500 DH,Hybride,2022,11 cv,13.300 km,Casablanca
AUDI A3,260.000 DH,Diesel,2019,8 cv,67.000 km,Agadir
AUDI Q5,268.000 DH,Diesel,2015,8 cv,169.000 km,Agadir
DACIA Sandero,115.000 DH,Diesel,2019,6 cv,62.000 km,Casablanca
FIAT 500,118.000 DH,Diesel,2017,5 cv,43.000 km,Casablanca
OPEL Adam,100.000 DH,Essence,2017,7 cv,47.600 km,Marrakech
DACIA Duster,150.000 DH,Diesel,2018,6 cv,137.000 km,Tétouan
NISSAN Qashqai,90.000 DH  VENDUE,Diesel,2010,8 cv,300.000 km,Casablanca
SEAT Leon,199.000 DH  VENDUE,Diesel,2020,6 cv,62.000 km,Casablanca
VOLKSWAGEN Tiguan,334.000 DH,Diesel,2019,8 cv,134.000 km,Fès
RENAULT Captur,110.000 DH,Diesel,2014,6 cv,117.000 km,Casablanca
NISSAN Qashqai,198.000 DH  VENDUE,Diesel,2018,6 cv,68.000 km,Agadir
VOLKSWAGEN Polo,110.000 DH,Essence,2013,6 cv,180.000 km,Casablanca
TOYOTA RAV 4,275.000 DH,Hybride,2020,14 cv,115.000 km,Casablanca
SEAT Ibiza,106.000 DH,Essence,2017,6 cv,75.600 km,Salé
PEUGEOT 301,135.000 DH  VENDUE,Diesel,2019,6 cv,37.000 km,Casablanca
MERCEDES Classe C,115.000 DH,Diesel,2010,cv,190.000 km,Casablanca
DACIA Dokker,103.000 DH,Diesel,2018,6 cv,241.000 km,Casablanca
HYUNDAI Elantra,137.000 DH,Diesel,2015,6 cv,141.700 km,El Jadida
BMW Série 1 Coupé,115.000 DH,Diesel,2009,8 cv,190.000 km,El Jadida
FORD Fiesta,79.000 DH,Essence,2014,7 cv,100.000 km,El Jadida
JEEP Renegade,168.000 DH,Diesel,2019,6 cv,95.100 km,Casablanca
FORD Focus,218.000 DH,Diesel,2020,6 cv,51.500 km,Khouribga
AUDI A5 SportBack,460.000 DH,Diesel,2022,8 cv,34.000 km,Casablanca
AUDI A3 Sportback,500.000 DH,Essence,2021,11 cv,24.000 km,Casablanca
KIA Sportage,60.000 DH,Diesel,2008,8 cv,260.000 km,Agadir
SEAT Leon,187.000 DH,Diesel,2020,6 cv,80.000 km,Salé
RENAULT Kadjar,215.000 DH,Diesel,2024,6 cv,90.000 km,Casablanca
NISSAN Qashqai,215.000 DH,Diesel,2020,6 cv,34.000 km,Casablanca
JEEP Compass,180.000 DH,Diesel,2018,6 cv,167.087 km,Rabat
HYUNDAI Tucson,375.000 DH,Diesel,2024,6 cv,4.000 km,Casablanca
TOYOTA C-HR,287.500 DH,Hybride,2022,cv,22.900 km,Tanger
ALFA ROMEO 159,84.000 DH,Diesel,2009,10 cv,17.000 km,Casablanca
TOYOTA RAV 4,150.000 DH,Diesel,2015,8 cv,188.000 km,El Jadida
FIAT 500,105.000 DH,Essence,2017,6 cv,80.000 km,Rabat
ALFA ROMEO Stelvio,290.000 DH  VENDUE,Diesel,2021,9 cv,54.000 km,Casablanca
HYUNDAI Accent,73.000 DH,Diesel,2010,6 cv,115.000 km,Kénitra
MERCEDES CLS Coupé,230.000 DH,Diesel,2014,9 cv,160.000 km,Tétouan
MERCEDES Classe A,172.000 DH,Diesel,2015,6 cv,124.000 km,Kénitra
AUDI A7 Sportback,960.000 DH,Diesel,2023,12 cv,12.000 km,Casablanca
PORSCHE Macan,550.000 DH,Essence,2021,11 cv,34.000 km,Casablanca
VOLKSWAGEN Touareg,540.000 DH,Diesel,2021,12 cv,112.000 km,Casablanca
MERCEDES Classe A,470.000 DH,Diesel,2023,8 cv,7.000 km,Casablanca
VOLKSWAGEN Touareg,840.000 DH,Diesel,2024,12 cv,1.000 km,Casablanca
HYUNDAI i20,120.000 DH,Diesel,2019,6 cv,780.000 km,Casablanca
MERCEDES Classe E,300.000 DH,Diesel,2016,8 cv,110.000 km,Casablanca
FIAT Freemont,170.000 DH,Diesel,2017,8 cv,120.000 km,Casablanca
KIA Picanto,109.000 DH,Essence,2022,6 cv,27.100 km,Rabat
OPEL Astra,280.000 DH,Diesel,2023,6 cv,22.400 km,Marrakech
ALFA ROMEO Giulietta,155.000 DH,Diesel,2017,6 cv,82.949 km,Rabat
MERCEDES CLK,66.000 DH,Diesel,2007,11 cv,162.000 km,Fès
MERCEDES Classe B,157.000 DH,Diesel,2014,6 cv,88.000 km,Rabat
HONDA CR-V,92.000 DH,Diesel,2008,9 cv,213.000 km,Oujda
ALFA ROMEO Giulia,160.000 DH,Diesel,2017,8 cv,195.000 km,Casablanca
MERCEDES Classe E Coupé,455.000 DH,Diesel,2018,8 cv,160.000 km,Casablanca
OPEL Astra,140.000 DH,Diesel,2016,8 cv,140.000 km,Temara
HYUNDAI Tucson,197.000 DH,Diesel,2017,7 cv,140.000 km,Salé
JEEP Grand Cherokee,180.000 DH,Diesel,2016,12 cv,150.000 km,Casablanca
RENAULT Clio Classic,65.000 DH,Essence,2024,7 cv,116.000 km,Casablanca
FORD Transit,310.000 DH,Diesel,2021,9 cv,15.400 km,Agadir
FORD Focus,70.000 DH,Diesel,2008,7 cv,39.000 km,El Jadida
AUDI Q5,420.000 DH  VENDUE,Diesel,2020,8 cv,26.000 km,Casablanca
VOLKSWAGEN Tiguan,225.000 DH,Diesel,2018,8 cv,110.000 km,El Jadida
MERCEDES CLS Coupé,360.000 DH,Diesel,2017,9 cv,160.000 km,Casablanca
VOLKSWAGEN Tiguan,375.000 DH,Diesel,2017,8 cv,154.000 km,Casablanca
RENAULT Fluence,93.000 DH,Diesel,2013,6 cv,224.000 km,Casablanca
RENAULT Captur,140.000 DH  VENDUE,Diesel,2016,6 cv,75.000 km,Tanger
KIA Sportage,65.000 DH,Diesel,2008,8 cv,260.000 km,Agadir
RENAULT Kangoo Evolution,185.000 DH,Diesel,2021,6 cv,73.000 km,Fès
RENAULT Captur,220.000 DH,Diesel,2022,6 cv,29.800 km,Safi
MERCEDES Classe E,40.000 DH  VENDUE,Essence,1998,11 cv,240.000 km,Rabat
DACIA Sandero,120.000 DH,Diesel,2018,6 cv,53.156 km,Larache
TOYOTA Yaris,130.000 DH,Diesel,2020,6 cv,69.000 km,Tanger
SEAT Ateca,260.000 DH,Diesel,2018,6 cv,193.000 km,Tanger
VOLKSWAGEN Touran,235.000 DH,Diesel,2018,8 cv,195.000 km,Oujda
HONDA Accord,106.000 DH,Diesel,2011,9 cv,275.000 km,Casablanca
CITROEN C3 Pluriel,55.000 DH,Essence,2004,9 cv,110.000 km,Casablanca
VOLVO XC40,285.000 DH,Essence,2020,11 cv,71.450 km,Marrakech
HYUNDAI Tucson,380.000 DH,Diesel,2022,6 cv,43.000 km,Casablanca
FORD C-Max,115.000 DH,Diesel,2013,6 cv,195.000 km,Salé
NISSAN Qashqai,187.000 DH,Diesel,2018,6 cv,129.000 km,Casablanca
VOLKSWAGEN Jetta,188.000 DH  VENDUE,Diesel,2019,8 cv,73.000 km,Casablanca
AUDI A3 Sportback,280.000 DH,Diesel,2021,8 cv,66.800 km,Casablanca
FORD Fiesta,115.000 DH,Diesel,2018,6 cv,42.000 km,Agadir
MERCEDES Classe B,130.000 DH,Essence,2012,9 cv,180.000 km,Rabat
FIAT Tipo,120.000 DH  VENDUE,Diesel,2020,5 cv,150.000 km,Agadir
DACIA Sandero,105.000 DH,Diesel,2018,6 cv,140.000 km,Casablanca
VOLKSWAGEN Golf,63.000 DH  VENDUE,Essence,2004,11 cv,162.000 km,Oujda
VOLKSWAGEN Passat,73.000 DH,Diesel,2005,8 cv,193.700 km,Casablanca
RENAULT Kangoo,118.000 DH  VENDUE,Diesel,2017,6 cv,224.000 km,Casablanca
KIA Ceed,79.000 DH,Diesel,2009,6 cv,132.500 km,Kénitra
MERCEDES Classe E,178.000 DH,Diesel,2011,9 cv,190.000 km,Casablanca
LAND ROVER Discovery Sport,280.000 DH,Diesel,2019,8 cv,77.647 km,Casablanca
JAGUAR XF,250.000 DH,Diesel,2016,8 cv,132.000 km,Casablanca
HYUNDAI Tucson,195.000 DH,Diesel,2017,7 cv,195.000 km,Kénitra
BMW X5,325.000 DH,Diesel,2018,12 cv,197.000 km,Casablanca
PEUGEOT 301,95.000 DH,Diesel,2019,6 cv,200.000 km,Sefrou
FIAT Tipo,78.000 DH,Essence,2018,8 cv,86.000 km,Settat
CITROEN C3,125.000 DH,Diesel,2019,6 cv,82.000 km,Casablanca
VOLKSWAGEN Touareg,165.000 DH,Diesel,2016,12 cv,164.000 km,Casablanca
OPEL Astra,109.000 DH,Diesel,2013,7 cv,130.000 km,Casablanca
VOLKSWAGEN Tiguan,185.000 DH,Diesel,2016,8 cv,113.000 km,Meknès
PEUGEOT 208,118.000 DH,Diesel,2017,6 cv,120.000 km,Nador
VOLKSWAGEN Golf,128.000 DH,Diesel,2011,6 cv,264.000 km,Marrakech
FORD Kuga,162.000 DH,Diesel,2016,8 cv,102.000 km,Rabat
DS DS7 Crossback,310.000 DH,Diesel,2019,8 cv,52.000 km,Tanger
HONDA Jazz,60.000 DH,Essence,2008,8 cv,170.000 km,Mohammadia
BMW Série 4 Gran Coupé,245.000 DH,Diesel,2017,8 cv,179.000 km,Rabat
RENAULT Clio,90.000 DH,Diesel,2017,6 cv,200.000 km,Casablanca
TOYOTA C-HR,250.000 DH,Hybride,2023,11 cv,27.000 km,Casablanca
VOLKSWAGEN Jetta,169.000 DH,Diesel,2017,8 cv,100.000 km,Casablanca
VOLKSWAGEN Passat,195.000 DH,Diesel,2018,8 cv,159.000 km,Casablanca
DACIA Duster,170.000 DH,Diesel,2019,6 cv,120.000 km,Casablanca
HYUNDAI i40,97.000 DH,Diesel,2013,7 cv,180.000 km,Beni Mellal
BMW Série 5,345.000 DH  VENDUE,Diesel,2019,8 cv,82.000 km,Rabat
FIAT Uno,20.000 DH,Essence,2000,6 cv,140.000 km,Casablanca
OPEL Corsa,165.000 DH,Diesel,2021,6 cv,45.900 km,Tanger
BMW Série 5,305.000 DH,Diesel,2018,8 cv,130.000 km,Casablanca
SEAT Ibiza,113.000 DH,Diesel,2017,7 cv,74.000 km,Kénitra
FORD Kuga,200.000 DH,Diesel,2019,6 cv,68.000 km,Kénitra
FIAT Punto,50.000 DH,Essence,2011,cv,210.000 km,Casablanca
CITROEN Berlingo,75.000 DH  VENDUE,Diesel,2012,7 cv,100.500 km,Ouarzazate
HYUNDAI Tucson,230.000 DH,Diesel,2018,7 cv,90.600 km,Kénitra
MERCEDES GLE,290.000 DH,Diesel,2006,12 cv,180.000 km,Casablanca
KIA Sportage,125.000 DH,Diesel,2012,8 cv,148.000 km,Tanger
AUDI A3,178.000 DH,Diesel,2013,6 cv,141.000 km,Fès
OPEL Corsa,78.000 DH,Diesel,2013,5 cv,120.000 km,Rabat
PORSCHE Panamera,890.000 DH,Hybride,2020,17 cv,83.410 km,Casablanca
BMW Série 3,185.000 DH,Diesel,2014,8 cv,187.000 km,Rabat
PEUGEOT 308,127.000 DH,Diesel,2014,6 cv,148.190 km,Casablanca
NISSAN Micra,125.000 DH  VENDUE,Diesel,2017,6 cv,110.000 km,Safi
BMW Série 5,88.000 DH,Diesel,2005,10 cv,238.000 km,Agadir
VOLVO XC60,165.000 DH,Diesel,2017,8 cv,182.000 km,Casablanca
PEUGEOT 3008,295.000 DH,Diesel,2019,8 cv,95.000 km,Meknès
HYUNDAI Accent,173.000 DH,Diesel,2022,6 cv,25.000 km,Casablanca
VOLKSWAGEN Tiguan,240.000 DH,Diesel,2018,18 cv,79.000 km,Tanger
CITROEN C3,150.000 DH,Diesel,2020,6 cv,50.000 km,Marrakech
BMW Série 5,270.000 DH,Diesel,2016,8 cv,170.500 km,Marrakech
VOLKSWAGEN Golf,180.000 DH,Diesel,2018,8 cv,34.000 km,Casablanca
RENAULT Kangoo,125.000 DH,Diesel,2017,6 cv,189.000 km,Dakhla
NISSAN Qashqai,140.000 DH,Diesel,2014,6 cv,180.000 km,Nador
VOLKSWAGEN Tiguan,280.000 DH,Diesel,2018,8 cv,23.500 km,Casablanca
CITROEN C5 AirCross,205.000 DH,Diesel,2020,8 cv,124.000 km,El Jadida
PEUGEOT 308,172.000 DH,Diesel,2019,6 cv,78.000 km,Meknès
VOLKSWAGEN Passat,193.000 DH,Diesel,2019,8 cv,80.500 km,Casablanca
PEUGEOT 301,125.000 DH,Diesel,2021,6 cv,130.000 km,Salé
CITROEN Nemo,62.000 DH,Diesel,2016,6 cv,108.000 km,Dakhla
PEUGEOT 208,120.000 DH,Diesel,2018,6 cv,51.300 km,Casablanca
PEUGEOT 208,108.000 DH,Diesel,2016,6 cv,105.000 km,Mohammadia
MERCEDES Classe C,285.000 DH,Diesel,2018,8 cv,170.000 km,Casablanca
OPEL Insignia,73.000 DH  VENDUE,Diesel,2010,8 cv,240.000 km,El Jadida
BMW X6,285.000 DH,Diesel,2016,12 cv,230.000 km,Casablanca
CHEVROLET Spark,39.000 DH,Essence,2008,cv,110.000 km,Fès
VOLKSWAGEN Tiguan,320.000 DH,Diesel,2020,8 cv,59.600 km,Casablanca
BMW Série 1,165.000 DH,Diesel,2015,8 cv,250.000 km,Casablanca
HONDA Accord,88.000 DH  VENDUE,Diesel,2009,9 cv,312.000 km,Rabat
DS DS 4,330.000 DH,Diesel,2022,6 cv,21.000 km,Marrakech
BMW Série 1 Coupé,135.000 DH,Diesel,2011,8 cv,129.000 km,Casablanca
VOLKSWAGEN CC,240.000 DH,Diesel,2018,8 cv,50.000 km,Casablanca
VOLKSWAGEN Tiguan,320.000 DH,Diesel,2017,8 cv,84.000 km,Tanger
SEAT Ibiza,92.000 DH,Diesel,2014,6 cv,183.800 km,Temara
AUDI A3,52.000 DH,Diesel,2003,8 cv,250.000 km,Tanger
OPEL Crossland,170.000 DH,Diesel,2020,6 cv,45.000 km,Salé
RENAULT Mégane,93.000 DH,Diesel,2013,6 cv,201.000 km,Salé
OPEL Astra,165.000 DH,Diesel,2018,cv,81.265 km,Temara
HONDA Accord,75.000 DH  VENDUE,Diesel,2005,9 cv,150.000 km,Casablanca
VOLKSWAGEN Tiguan,183.000 DH,Diesel,2012,8 cv,190.000 km,Beni Mellal
PEUGEOT 208,113.000 DH,Diesel,2017,6 cv,97.300 km,Kénitra
CUPRA Formentor,620.000 DH,Essence,2022,11 cv,5.000 km,Tanger
MERCEDES Classe C,270.000 DH,Diesel,2019,9 cv,98.000 km,Salé
FORD EcoSport,168.000 DH,Diesel,2019,6 cv,61.000 km,Sidi Kacem
FIAT Tipo,108.000 DH  VENDUE,Diesel,2018,5 cv,85.000 km,Larache
FIAT 500,74.000 DH,Essence,2014,7 cv,88.000 km,Casablanca
BMW Série 5,380.000 DH,Diesel,2018,8 cv,95.000 km,Rabat
ALFA ROMEO 159,40.000 DH,Essence,2008,11 cv,137.280 km,Kénitra
ABARTH 595,210.000 DH,Essence,2020,10 cv,60.000 km,Casablanca
MINI 3 portes,128.000 DH,Essence,2012,8 cv,135.000 km,Marrakech
TOYOTA Corolla Sport,200.000 DH,Hybride,2021,10 cv,40.500 km,Rabat
VOLKSWAGEN Jetta,94.000 DH,Diesel,2010,8 cv,230.000 km,Agadir
NISSAN Qashqai,190.000 DH  VENDUE,Diesel,2018,6 cv,48.000 km,Salé
CITROEN C3,65.000 DH,Essence,2009,7 cv,25.000 km,Fès
MINI 3 portes,69.000 DH,Essence,2003,9 cv,45.000 km,Casablanca
DACIA Sandero,125.000 DH,Diesel,2017,6 cv,76.026 km,Mohammadia
FIAT Punto,72.000 DH,Diesel,2014,05 cv,107.000 km,Casablanca
PEUGEOT 3008,285.000 DH,Diesel,2020,8 cv,47.000 km,Rabat
VOLKSWAGEN CC,195.000 DH,Diesel,2018,8 cv,110.000 km,Kénitra
OPEL Astra,155.000 DH,Diesel,2018,6 cv,113.000 km,Fès
HYUNDAI Accent,125.000 DH,Diesel,2018,6 cv,80.000 km,Meknès
FORD Kuga,193.000 DH,Diesel,2019,6 cv,81.000 km,Fès
VOLKSWAGEN T-Roc,310.000 DH  VENDUE,Diesel,2021,8 cv,111.000 km,Fès
RENAULT Mégane,125.000 DH  VENDUE,Diesel,2016,6 cv,120.000 km,Agadir
RENAULT Captur,150.000 DH  VENDUE,Diesel,2020,6 cv,26.500 km,Marrakech
DACIA Sandero,140.000 DH  VENDUE,Diesel,2021,6 cv,30.000 km,Tanger
SKODA Karoq,280.000 DH  VENDUE,Diesel,2021,8 cv,34.000 km,Safi
VOLKSWAGEN Passat,198.000 DH  VENDUE,Diesel,2019,8 cv,79.400 km,Casablanca
BMW Série 1,250.000 DH  VENDUE,Diesel,2018,6 cv,61.000 km,Casablanca
TOYOTA Corolla Berline,60.000 DH  VENDUE,Diesel,2005,8 cv,288.000 km,Temara
PEUGEOT 208,92.000 DH  VENDUE,Essence,2016,7 cv,105.000 km,Casablanca
MAZDA 6,88.000 DH  VENDUE,Diesel,2012,8 cv,189.000 km,Rabat
CITROEN C5,84.000 DH  VENDUE,Diesel,2013,6 cv,200.000 km,Temara
VOLKSWAGEN Arteon,320.000 DH  VENDUE,Diesel,2019,8 cv,81.000 km,Casablanca
FORD Fiesta,82.000 DH  VENDUE,Essence,2016,7 cv,1.950.000 km,Tan-Tan
VOLKSWAGEN Passat,110.000 DH  VENDUE,Diesel,2010,8 cv,375.000 km,Meknès
FIAT 500,140.000 DH  VENDUE,Essence,2019,6 cv,15.000 km,Casablanca
RENAULT Mégane,189.000 DH  VENDUE,Diesel,2018,6 cv,64.200 km,Casablanca
SEAT Leon,175.000 DH  VENDUE,Diesel,2016,8 cv,69.000 km,Agadir
VOLVO XC60,330.000 DH  VENDUE,Diesel,2019,8 cv,65.000 km,Casablanca
FIAT Punto,108.000 DH  VENDUE,Diesel,2018,5 cv,45.600 km,Agadir
VOLKSWAGEN Tiguan,384.000 DH  VENDUE,Diesel,2018,8 cv,113.300 km,Agadir
VOLKSWAGEN Tiguan,260.000 DH  VENDUE,Diesel,2018,8 cv,80.000 km,Casablanca
AUDI A6,355.000 DH  VENDUE,Diesel,2016,8 cv,81.000 km,Casablanca
MINI 5 portes,150.000 DH  VENDUE,Essence,2017,7 cv,80.000 km,Casablanca
CITROEN C5,75.000 DH  VENDUE,Diesel,2023,8 cv,265.000 km,Rabat
VOLKSWAGEN Golf,178.000 DH  VENDUE,Diesel,2018,8 cv,84.500 km,Kénitra
KIA Sportage,250.000 DH  VENDUE,Diesel,2021,6 cv,26.000 km,Ouarzazate
HYUNDAI Accent,172.000 DH  VENDUE,Diesel,2022,6 cv,24.000 km,Casablanca
JEEP Compass,240.000 DH  VENDUE,Diesel,2021,6 cv,42.000 km,Benslimane
HYUNDAI i20,178.000 DH  VENDUE,Essence,2022,8 cv,15.000 km,Rabat
OPEL Insignia,188.000 DH  VENDUE,Diesel,2019,8 cv,102.000 km,Rabat
FIAT Punto,25.000 DH  VENDUE,Diesel,1998,7 cv,281.000 km,Casablanca
SKODA Fabia,120.000 DH  VENDUE,Essence,2019,7 cv,43.700 km,Agadir
FIAT Punto,79.000 DH  VENDUE,Diesel,2018,cv,151.000 km,Casablanca
DACIA Sandero,72.000 DH  VENDUE,Diesel,2015,6 cv,90.000 km,Marrakech
MERCEDES Classe E,35.000 DH  VENDUE,Diesel,1998,10 cv,1.000 km,Salé
VOLKSWAGEN Tiguan,173.000 DH  VENDUE,Diesel,2014,8 cv,157.000 km,Kénitra
VOLKSWAGEN Passat,190.000 DH  VENDUE,Diesel,2018,8 cv,105.000 km,Casablanca
AUDI A6,280.000 DH  VENDUE,Diesel,2018,8 cv,73.000 km,Agadir
HYUNDAI Elantra,159.000 DH  VENDUE,Diesel,2020,6 cv,80.100 km,Salé
VOLKSWAGEN CC,190.000 DH  VENDUE,Diesel,2017,8 cv,195.000 km,Salé
PEUGEOT 208,120.000 DH  VENDUE,Diesel,2018,6 cv,51.100 km,Casablanca
FORD Kuga,122.000 DH  VENDUE,Diesel,2011,8 cv,160.000 km,Rabat
FIAT Doblo,93.000 DH  VENDUE,Diesel,2019,6 cv,110.000 km,Casablanca
TOYOTA Corolla Sport,190.000 DH  VENDUE,Hybride,2020,9 cv,118.000 km,Fès
OPEL Astra,130.000 DH  VENDUE,Diesel,2014,8 cv,93.000 km,Fès
OPEL Astra,135.000 DH  VENDUE,Diesel,2014,8 cv,93.000 km,Fès
