voiture,prix-dh,lieu,kilometrage,annee-pub,boite-vitesses,carburant,date,puissance-fiscale,lien
MERCEDES Cla,310000,Casablanca,50000,2019,Automatique,Diesel,03/09/2024,0,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448850/mercedes-cla-220d.html
DACIA Logan,45000,Tiznit,146000,2013,Manuelle,Essence,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/402157/dacia-logan-.html
SEAT Leon,127000,Casablanca,160000,2015,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449180/seat-leon-reference.html
CITROEN Jumpy,189000,Casablanca,119000,2019,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/441096/citroen-jumpy-.html
TOYOTA Prado,288000,Casablanca,189000,2018,Automatique,Diesel,03/09/2024,11,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/436507/toyota-prado-.html
FIAT Panda,79000,Casablanca,109000,2018,Manuelle,Essence,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/441158/fiat-panda-.html
ALFA-ROMEO Giulia,295000,Casablanca,44000,2021,Automatique,Diesel,03/08/2024,9,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/436858/alfa-romeo-giulia-.html
FIAT Fullback,128000,Casablanca,119000,2019,Manuelle,Diesel,03/09/2024,9,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447987/fiat-fullback-.html
VOLKSWAGEN Cc,158000,Rabat,162000,2014,Manuelle,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/446245/volkswagen-cc-business.html
MERCEDES Classe c,348000,Rabat,149000,2018,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447249/mercedes-classe-c-.html
VOLKSWAGEN Jetta,143000,Rabat,149000,2018,Manuelle,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447251/volkswagen-jetta-.html
MERCEDES Classe c,295000,Casablanca,102637,2018,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/431679/mercedes-classe-c-180-d.html
BMW X5,555000,Casablanca,109500,2019,Automatique,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/446271/bmw-x5-pack-m.html
JEEP Cherokee,185000,Casablanca,123200,2016,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/446274/jeep-cherokee-ed.html
AUDI Q8,790000,Casablanca,116184,2020,Automatique,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/430180/audi-q8-tdi-quattro.html
JEEP Cherokee,315000,Casablanca,0,2021,Automatique,Diesel,03/09/2024,0,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/435561/jeep-cherokee-.html
BMW Serie 4,275000,Casablanca,97000,2015,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/379771/bmw-serie-4-418d-sport.html
BMW Serie 3,420000,Casablanca,119165,2019,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/432016/bmw-serie-3-20d-pack-m.html
BMW X4,255000,Rabat,249000,2015,Manuelle,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/445360/bmw-x4-.html
RENAULT Kadjar,195000,Rabat,84000,2017,Automatique,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448961/renault-kadjar-.html
AUDI Q5,268000,Rabat,129000,2015,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448712/audi-q5-.html
VOLKSWAGEN Tiguan,180000,Casablanca,120900,2016,Manuelle,Diesel,03/08/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/438220/volkswagen-tiguan-20l-tdi.html
MINI Countryman,215000,Casablanca,96200,2017,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/446671/mini-countryman-sd.html
JAGUAR Xf,295000,Casablanca,66500,2019,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/441321/jaguar-xf-luxury.html
MERCEDES Classe ml,200000,Casablanca,200000,2006,Automatique,Essence,03/06/2024,31,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/369712/mercedes-classe-ml-63-amg.html
DACIA Logan,73000,Casablanca,138000,2010,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/427288/dacia-logan-.html
HYUNDAI I10,75000,Casablanca,101000,2014,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/429390/hyundai-i10-.html
DACIA Logan,110000,Casablanca,95000,2017,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/429391/dacia-logan-.html
NISSAN Qashqai,110000,Casablanca,0,2012,Manuelle,Diesel,03/08/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/423304/nissan-qashqai-.html
RENAULT Kadjar,208000,Tanger,44000,2020,Automatique,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442449/renault-kadjar-.html
TOYOTA Fortuner,398000,Tanger,29000,2021,Automatique,Diesel,03/09/2024,10,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442464/toyota-fortuner-.html
CITROEN C1,75000,Tanger,109000,2012,Manuelle,Essence,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442465/citroen-c1-.html
RENAULT Megane,195000,Tanger,59000,2021,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442466/renault-megane-.html
HYUNDAI I10,81000,Casablanca,49000,2016,Manuelle,Essence,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/428697/hyundai-i10-.html
MERCEDES Classe c,315000,Tanger,165000,2015,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/446480/mercedes-classe-c-220d-amg.html
MERCEDES Classe c,325000,Tanger,100000,2014,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/446482/mercedes-classe-c-mercedes-classe-c-220d-executive-dedouanee.html
BMW Serie 3 gt,235000,Tanger,139000,2014,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/446484/bmw-serie-3-gt-.html
AUDI A5 sportback,235000,Tanger,109000,2013,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447790/audi-a5-sportback-.html
AUDI A5 sportback,240000,Tanger,100000,2013,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/446775/audi-a5-sportback-1ere-main-a5-sportback-avus.html
FIAT Doblo,165000,Casablanca,4000,2023,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/437643/fiat-doblo-.html
ALFA-ROMEO Giulietta,229000,Casablanca,4000,2023,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/437645/alfa-romeo-giulietta-.html
DODGE Caliber,330000,Casablanca,14000,2023,Automatique,Essence,03/09/2024,37,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/425635/dodge-caliber-.html
JEEP Compass,345000,Casablanca,9000,2022,Automatique,Hybride,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448677/jeep-compass-.html
JEEP Compass,260000,Casablanca,24000,2022,Automatique,Essence,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448678/jeep-compass-.html
RENAULT Talisman,300000,Casablanca,39000,2021,n/d,Diesel,03/09/2024,0,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442131/renault-talisman-.html
RENAULT Kadjar,228000,Casablanca,69000,2019,n/d,Diesel,03/09/2024,0,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442132/renault-kadjar-.html
DACIA Logan mcv,87000,Casablanca,119000,2019,n/d,Diesel,03/09/2024,0,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442134/dacia-logan-mcv-.html
RENAULT Megane sedan,250000,Casablanca,4000,2023,n/d,Diesel,03/09/2024,0,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442135/renault-megane-sedan-.html
LAND-ROVER Range rover evoque,352000,Casablanca,159000,2020,n/d,Diesel,03/09/2024,0,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442136/land-rover-range-rover-evoque-.html
SEAT Ibiza,118000,Casablanca,149000,2017,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/398619/seat-ibiza-.html
HYUNDAI I20,133000,Casablanca,69000,2019,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/423817/hyundai-i20-.html
MERCEDES 280,250000,Nador,69000,1982,Automatique,Essence,03/09/2024,17,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/424000/mercedes-280-.html
HYUNDAI Creta,185000,Nador,119000,2017,Automatique,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/418935/hyundai-creta-.html
JEEP Wrangler,320000,Nador,179000,2017,Automatique,Diesel,03/09/2024,11,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/423044/jeep-wrangler-.html
VOLKSWAGEN Golf 7,195000,Nador,159000,2016,Automatique,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448200/volkswagen-golf-7-.html
RENAULT Clio,130000,Nador,69000,2019,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448201/renault-clio-.html
RENAULT Clio,198000,Tanger,19000,2023,Automatique,Essence,03/09/2024,7,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/443266/renault-clio-.html
RENAULT Megane sedan,160000,Casablanca,64000,2020,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448685/renault-megane-sedan-.html
RENAULT Clio,120000,Casablanca,69000,2020,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448686/renault-clio-.html
PEUGEOT 301,120000,Casablanca,119000,2019,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448687/peugeot-301-.html
SEAT Altea xl,138000,Casablanca,139000,2016,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447453/seat-altea-xl-.html
HYUNDAI Tucson,290000,Rabat,150000,2019,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/444874/hyundai-tucson-20d.html
PEUGEOT Boxer,169000,Casablanca,189000,2019,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448013/peugeot-boxer-.html
PEUGEOT 106,119000,Casablanca,84000,2018,Manuelle,Diesel,03/09/2024,10,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/417664/peugeot-106-.html
FIAT Autre,95000,Casablanca,189000,2017,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/417674/fiat-autre-.html
FIAT Autre,79000,Casablanca,199000,2016,Manuelle,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/417676/fiat-autre-.html
CITROEN Berlingo,52000,Rabat,249000,2005,Manuelle,Diesel,03/09/2024,7,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/434385/citroen-berlingo-.html
CITROEN C4,65000,Rabat,249000,2006,Manuelle,Diesel,03/09/2024,7,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/434386/citroen-c4-220.html
RENAULT Scenic,62000,Rabat,199000,2004,Manuelle,Diesel,03/09/2024,7,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/434389/renault-scenic-.html
HYUNDAI Accent,45000,Rabat,249000,2006,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447445/hyundai-accent-.html
ZOTYE Nomad,46000,Rabat,249000,2011,Manuelle,Essence,03/09/2024,7,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/434390/zotye-nomad-.html
BMW M5,950000,Casablanca,84000,2019,Automatique,Essence,03/09/2024,31,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/434935/bmw-m5-.html
MITSUBISHI L200,139000,Tanger,94000,2019,Manuelle,Diesel,03/09/2024,10,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/424757/mitsubishi-l200-25-pick-up-fiat-fullback.html
CITROEN C3,187000,Tanger,800,2024,Automatique,Essence,03/09/2024,7,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447302/citroen-c3-.html
VOLKSWAGEN Golf 7,209000,Tanger,189000,2014,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/424781/volkswagen-golf-7-20.html
PEUGEOT 508,95000,Rabat,179000,2014,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447502/peugeot-508-.html
HYUNDAI Tucson,225000,Rabat,139000,2018,Automatique,Diesel,03/09/2024,7,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447503/hyundai-tucson-.html
BMW Serie 5,214000,Rabat,179000,2014,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447504/bmw-serie-5-.html
JEEP Grand cherokee,179000,Casablanca,89000,2019,Automatique,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449130/jeep-grand-cherokee-ed.html
LEXUS Rx,395000,Casablanca,79000,2019,Automatique,Hybride,03/09/2024,20,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449131/lexus-rx-450h-f-sport-executive.html
FIAT Tipo,105000,Casablanca,70000,2020,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449134/fiat-tipo-tt-option.html
JEEP Grand cherokee,215000,Casablanca,88000,2019,Automatique,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449135/jeep-grand-cherokee-overland.html
OPEL Grandland,175000,Casablanca,60000,2021,Automatique,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449136/opel-grandland-tout-option.html
MERCEDES Classe a,98000,Rabat,169000,2011,Manuelle,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/435401/mercedes-classe-a-.html
AUDI Q5,470000,Casablanca,65000,2018,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404753/audi-q5-s-line-quattro-20-tdi.html
OPEL Insignia,210000,Casablanca,47000,2019,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/403501/opel-insignia-20-cdti-170-bva-dynamic.html
MERCEDES Classe c coupe,513000,Casablanca,29000,2019,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407441/mercedes-classe-c-coupe-.html
SKODA Superb,193000,Casablanca,161000,2019,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406945/skoda-superb-20.html
DS Ds3 crossback,260000,Casablanca,17000,2022,Automatique,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/444150/ds-ds3-crossback-2022.html
FORD Autre,149000,Rabat,119000,2016,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447498/ford-autre-.html
JEEP Cherokee,178000,Rabat,119000,2016,Automatique,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447499/jeep-cherokee-.html
RENAULT Clio,120000,Rabat,49000,2018,Manuelle,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/447500/renault-clio-.html
SEAT Leon,155000,Rabat,54000,2016,Automatique,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/443262/seat-leon-.html
JEEP Grand cherokee,249000,Rabat,94000,2019,Automatique,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/443591/jeep-grand-cherokee-.html
HYUNDAI Tucson,335000,Casablanca,34000,2022,n/d,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/433687/hyundai-tucson-.html
FORD Ecosport,205000,Casablanca,4000,2021,n/d,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/432989/ford-ecosport-.html
TOYOTA Yaris,110000,Casablanca,49000,2019,n/d,Essence,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/435824/toyota-yaris-.html
VOLKSWAGEN Touareg,215000,Casablanca,159000,2018,n/d,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/435825/volkswagen-touareg-.html
PORSCHE Macan,480000,Casablanca,129000,2016,n/d,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/435826/porsche-macan-.html
JAGUAR Xf,259000,Rabat,59000,2018,Automatique,Diesel,03/09/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449179/jaguar-xf-.html
JEEP Grand cherokee,143000,Rabat,149000,2016,Automatique,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449178/jeep-grand-cherokee-.html
MERCEDES Cla,355000,Rabat,49000,2020,Automatique,Diesel,03/09/2024,7,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449177/mercedes-cla-.html
BMW Serie 1,285000,Rabat,34000,2021,Automatique,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449176/bmw-serie-1-.html
RENAULT Kadjar,196000,Rabat,109000,2019,Automatique,Diesel,03/09/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449175/renault-kadjar-.html
VOLKSWAGEN Touareg,158000,Casablanca,199000,2013,Automatique,Diesel,03/09/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449174/volkswagen-touareg-.html
VOLKSWAGEN Polo,71000,Casablanca,95000,2009,Manuelle,Essence,03/08/2024,7,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449162/volkswagen-polo-.html
FORD Transit,225000,Casablanca,55000,2020,Manuelle,Diesel,03/08/2024,9,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449156/ford-transit-l3h2.html
OPEL Astra,157000,Ben slimane,170000,2017,Manuelle,Diesel,03/08/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449155/opel-astra-astra-k.html
AUDI Q5,500000,Larache,195000,2018,Automatique,Diesel,03/08/2024,9,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449150/audi-q5-sline.html
LAND-ROVER Range rover sport,369000,Casablanca,129000,2016,n/d,Diesel,03/08/2024,12,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449154/land-rover-range-rover-sport-.html
HYUNDAI I20,112000,Casablanca,64000,2018,n/d,Essence,03/08/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449153/hyundai-i20-.html
MERCEDES Classe e,240000,Casablanca,169000,2017,n/d,Diesel,03/08/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449152/mercedes-classe-e-.html
CITROEN Berlingo,216000,Casablanca,39000,2022,n/d,Diesel,03/08/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449151/citroen-berlingo-.html
VOLKSWAGEN Touran,170000,Sale,200000,2015,Manuelle,Diesel,03/08/2024,7,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449149/volkswagen-touran-.html
JEEP Renegade,216000,Casablanca,29000,2022,Manuelle,Diesel,03/08/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/429322/jeep-renegade-.html
ALFA-ROMEO Autre,330000,Casablanca,9000,2022,Automatique,Hybride,03/08/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/427544/alfa-romeo-autre-.html
JEEP Compass,320000,Casablanca,14000,2023,Automatique,Hybride,03/08/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448879/jeep-compass-.html
JEEP Compass,240000,Casablanca,19000,2022,Automatique,Essence,03/08/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448880/jeep-compass-.html
FIAT 500,163500,Casablanca,4000,2024,Automatique,Essence,03/08/2024,7,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448881/fiat-500-.html
JEEP Compass,240000,Casablanca,14000,2022,Automatique,Essence,03/08/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448882/jeep-compass-.html
JEEP Compass,240000,Casablanca,14000,2022,Automatique,Essence,03/08/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448883/jeep-compass-.html
FIAT Doblo,167999,Casablanca,4000,2023,Manuelle,Diesel,03/08/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/425691/fiat-doblo-.html
FIAT Autre,130000,Casablanca,4000,2023,Manuelle,Essence,03/08/2024,5,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/425703/fiat-autre-cargo.html
FIAT 500,145000,Casablanca,4000,2023,Automatique,Essence,03/08/2024,7,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/428534/fiat-500-.html
BMW Serie 3,325500,Casablanca,148321,2020,Automatique,Diesel,03/08/2024,8,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/445845/bmw-serie-3-lounge.html
PEUGEOT 508,123000,Casablanca,139000,2016,Manuelle,Diesel,03/08/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449147/peugeot-508-.html
CITROEN C3,139000,Fes,99000,2022,Manuelle,Diesel,03/08/2024,6,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/433202/citroen-c3-.html
